draft_id,draft_time,clock,tournament_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
008e6d5d-1adb-446a-8e08-950d79884dfa,2021-05-05 15:39:25.95201-05,30,49415e4e-4889-4786-8245-5ad284fda6e1,1,D'Wayne Eskridge,WR,9,206.45,7,186,16,0,1804.02,1
0d0dab64-7d56-453c-975c-64cdd8dc1ee7,2021-07-25 18:51:22.761446-05,30,f76d05c2-e48e-4f30-9142-ea164bd15a30,1,Carson Wentz,QB,14,162.58,9,160,14,96.56,1682.08,1
01afdd75-ab61-4e27-a6d8-c827758d8c25,2021-08-04 16:58:11.890755-05,30,e9cb6c30-67ce-4c32-b0dc-c05597e2246c,1,Jamaal Williams,RB,9,140.26,5,149,13,43.2,1713.88,1
055123bc-af54-4844-8e55-c44b7e0b2f18,2021-09-07 14:56:05.030622-05,30,e6e52b37-abe6-4950-997b-4f75718ff729,1,Sammy Watkins,WR,8,175.49,11,179,15,45.5,1714.62,1
056d4644-1347-4e03-a53d-9b96a34bb313,2021-06-20 17:43:06.829619-05,30,73fd38bf-2ecd-48c0-9782-fb1932f79eda,1,Michael Gallup,WR,7,82.99,11,86,8,46.3,1662.98,1
207c13da-2d24-4cc9-9110-c2fa5dfaf90a,2021-06-14 04:22:20.608499-05,30,b06757ff-92c1-4705-94b0-d65ddaf46dd7,1,Jonathan Taylor,RB,14,6.88,11,14,2,284.6,1839.3,1
208e0ced-25df-4e80-a74d-967aadaf985f,2021-08-22 21:57:52.819045-05,30,84770976-c059-440a-a845-99ef9d1bf5a8,1,David Njoku,TE,13,215.59,12,205,18,58.2,1722.48,1
18190ef6-fd08-4e75-a60e-f2f19381046e,2021-08-09 04:17:20.840949-05,30,253f6cc1-90f4-4330-83b8-befcbc61283c,1,Josh Jacobs,RB,8,58.66,8,56,5,125.5,1797.86,1
101537cc-cc4c-4976-a289-8c770db90f94,2021-08-05 00:49:06.741578-05,14400,cd363fba-68c0-427f-a094-fce8953461fa,1,DeVante Parker,WR,14,105.57,10,106,9,53.7,1901.96,1
21b98a8c-912d-4246-8f97-3e602a09472f,2021-09-09 01:09:05.717198-05,30,f4ee1896-37d3-48d4-b17e-07620ca8ac3c,1,Austin Hooper,TE,13,170.99,10,178,15,47.6,1888.38,1
111eb3c1-4981-4c0c-a984-b1dd703141f4,2021-07-21 17:43:28.094326-05,28800,f475ccf5-0696-4b52-b7e5-6d1680be2b6e,1,Damien Harris,RB,14,86.57,9,88,8,127.6,1907.42,1
114fa33d-3883-4435-bdc6-e90c5e5bd704,2021-09-09 17:08:51.437494-05,30,0a21cf3e-7ea6-47e7-a9c6-c33adc1a6787,1,James Conner,RB,12,117.9,9,112,10,191.4,1835.92,1
0ba34c48-48f9-4648-8e1e-497b2774f55c,2021-08-20 21:31:23.002282-05,30,5a136799-ea93-4113-9399-c174f626031f,1,Justin Jackson,RB,7,207.35,12,180,15,11,1693.92,1
22552d47-4321-49a5-a503-346b009c7366,2021-07-24 22:35:42.779039-05,28800,ad9de58c-9ff7-4ce9-a957-bd872e44f6a6,1,James Conner,RB,12,114.24,7,127,11,199,1822.94,1
089bef03-f9cf-4446-a433-4f00b11c17a4,2021-09-08 22:37:42.789559-05,30,5efc6593-5850-42c2-aa7e-01713b0651a4,1,Amon-Ra St. Brown,WR,9,158.12,11,155,13,68.1,1714.88,1
1a326534-1d2a-4d9b-8f02-c2439fc5dcaf,2021-07-15 17:00:57.664107-05,30,be74de24-fa74-4df9-9ef1-b9ac62532a7e,1,Amari Rodgers,WR,13,184.04,12,157,14,0,1817.34,1
23c69b54-1dac-47d6-a493-6f2273fa7484,2021-08-10 11:19:54.444599-05,14400,ee79c1f1-c9dd-4c92-a519-a35437482f45,1,Christian Kirk,WR,12,171.82,11,179,15,84.42,1679.36,1
23da8b1f-73ee-4791-abd9-79dfa12b3d26,2021-07-22 22:28:00.043209-05,30,3898bc5f-ff7c-4b35-8629-65b4687dd484,1,Marquez Valdes-Scantling,WR,13,177.12,10,159,14,45.3,1701.66,1
2cc9a347-24af-470e-924a-0ec384d61b63,2021-09-03 12:08:41.484557-05,30,685bac55-51a8-433d-9487-dc5ef0ed7aca,1,T.Y. Hilton,WR,14,191.7,7,186,16,0,1753.38,1
28c6a1e0-12c4-40af-927a-ccf3b843782d,2021-06-17 21:06:31.258557-05,30,4d97f034-37aa-4343-a707-ee765bae2513,1,Mike Gesicki,TE,14,121.09,8,128,11,101.4,1798.54,1
325aa673-c515-42af-a635-5b30b2bc3418,2021-08-16 00:33:46.936393-05,14400,c4f77141-fae6-475e-b123-97f133f51c0e,1,Austin Hooper,TE,13,184.64,11,182,16,39.7,1702.98,1
2a4ff733-264c-461d-bcf8-58ff45fa15fa,2021-08-05 00:57:15.322195-05,30,382674e7-4816-4ac6-9cf3-209dcda05fbe,1,Leonard Fournette,RB,9,122.82,5,116,10,202.4,1685.18,1
45465d29-d69a-4d92-bf52-5c24cba92f18,2021-08-27 00:32:11.348704-05,30,ea42b228-38dd-431e-899f-f922a34b0441,1,Tyler Kroft,TE,6,211.89,7,175,15,9,1713.7,1
300d9cc2-9f63-4741-9248-d2e7a9c0d7a7,2021-09-09 06:28:03.605528-05,30,28b047b6-c666-4c9e-9d83-5779cfafb4e6,1,D'Andre Swift,RB,9,42.93,8,41,4,145.5,1737.74,1
388a5c8f-c7d4-489a-9c6b-f89c650155d2,2021-08-21 17:07:31.244474-05,30,6324751d-4cf7-4143-aa10-cf09d806dde6,1,Damien Harris,RB,14,83.92,12,84,7,134.6,1685.8,1
302eb917-5be4-428f-993f-4bc0461ffbdf,2021-09-05 20:56:40.509688-05,30,09b37db8-0913-46e3-80e4-003b398445c0,1,Devin Singletary,RB,7,132,4,141,12,61.1,1764.74,1
303876f1-e7d6-45de-9e75-0b0d792570ef,2021-08-21 02:14:57.148199-05,30,7716d55d-62da-4c0a-bf82-5f392f9207dd,1,Deebo Samuel,WR,6,65.15,8,65,6,217.3,1743.86,1
3e40da08-4b11-4062-a2a8-a6b8b5d7aa42,2021-09-02 23:11:32.179747-05,30,a04372ea-e6b3-498e-8776-d3a06b220e76,1,Wayne Gallman,RB,7,215.88,9,208,18,0.2,1619.8,1
3468afd3-4b8f-4aa9-abde-f68581c0bdb0,2021-06-10 23:15:16.205955-05,30,0718e2f0-6b22-4974-a880-f2a73a5442f0,1,Darrynton Evans,RB,13,198.71,2,215,18,0,1823.68,1
26be580c-4cbb-40db-813f-e278f34f3cd9,2021-08-22 01:57:45.846716-05,30,ccc626db-7f86-404e-8b87-e2ffa0eaf611,1,Aaron Jones,RB,13,9.36,11,11,1,136.9,1731.9,1
26c6d255-3ee0-4503-bec7-7818e941fba8,2021-05-28 02:46:16.725311-05,30,d8dc0517-878c-4249-8407-04915e624307,1,Dyami Brown,WR,9,183.59,12,181,16,4.9,1704.2,1
46c9c1fb-32eb-46b5-a794-8115722eedd6,2021-06-14 01:36:01.041732-05,30,fc2da2ac-d40b-4ab5-b4c9-f2c251fc47c1,1,Damien Harris,RB,14,84.89,8,80,7,134.6,1792.52,1
270fa3d4-90df-4bf6-87e7-8777532cc91a,2021-08-01 12:41:50.572487-05,28800,eebf62e9-ca59-4626-aa13-d92cb61f1d05,1,Nelson Agholor,WR,14,131.34,10,130,11,35.7,1889.74,1
