draft_id,user_id,username,draft_created_time,draft_filled_time,draft_time,draft_completed_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,player_id,position_name,projection_adp,source,pick_order,overall_pick_number,team_pick_number,pick_created_time,pick_points,roster_points,made_playoffs
0e11a3ff-003c-4194-928b-a1838892855c,fb37b110-9a8e-4bdc-8115-5b57d5620598,afootballmind,2023-04-24 22:41:45-05,2023-08-01 03:13:20-05,2023-08-01 03:14:25-05,2023-08-24 23:41:46-05,14400,4da79fc0-7e3f-4b87-9750-7d00a8168155,36cde87c-1cb7-452b-bb45-d7a4ba019079,c3d91cf4-76cf-46e4-9d5d-0708ffc857ae,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.25,user,10,10,1,2023-08-02 01:28:18-05,227.5,1971.34,0
026b4cbc-5360-49d6-b903-688131360a13,8e20567b-86ee-4c4c-ac78-951878bc6e92,scubasteele,2023-04-24 22:41:46-05,2023-09-01 01:19:11-05,2023-09-01 01:20:16-05,2023-09-01 02:06:08-05,30,12dc8e5d-78c2-4bf8-ae42-a8e965e3e415,5e091acf-f688-41a2-8972-a59a5119384a,89a3ae37-18a4-47ec-960b-e1fcfe5662b5,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.19,user,4,4,1,2023-09-01 01:20:51-05,285.4,1978.08,0
b35be90c-92f2-4ca3-b123-07d07fca22cc,216e026b-b6df-44bc-a386-b864f18d9c5d,lebs11,2023-04-24 22:42:13-05,2023-07-22 10:43:16-05,2023-07-22 10:44:21-05,2023-07-22 11:23:46-05,30,40545dcb-488e-457d-99b0-a7109d6865ba,bd0047ca-1969-4138-b9c6-0c6dd542546d,1aace169-5d00-4060-8ef6-d93820d2bf44,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.03,user,12,12,1,2023-07-22 10:46:52-05,220.6,1948.28,0
ed52a13a-a7da-4296-b243-4fcd9d6b74b9,2d9b3145-ddcc-467f-9f40-db7ba8b46392,plzfindrob,2023-04-24 22:42:04-05,2023-07-24 19:52:35-05,2023-07-24 19:53:41-05,2023-07-24 20:45:28-05,30,d3c8248b-9731-4780-b815-3772f00914fa,21546a99-f064-4f86-b334-33efc321fa09,e70419f4-e757-4e77-9da1-2df02f19dbc1,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.75,user,2,2,1,2023-07-24 19:54:15-05,269.6,1959.7,0
eb660445-d98f-4101-8093-9e2fc0ffcd36,9be82c24-c9f8-4d0f-b9ed-75bd3ea6478c,pjb,2023-04-24 22:39:25-05,2023-04-29 23:45:16-05,2023-04-29 23:46:21-05,2023-04-30 00:36:15-05,30,47630a97-e8dd-4c2a-88ca-04dbadd778e6,95a81c52-9d3f-4344-81a5-c5f1347886af,a56bd24c-02d2-45d0-a831-68a93a656e9f,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,2,user,4,4,1,2023-04-29 23:47:13-05,285.4,1928.56,0
7f95fa1c-4aac-425c-8332-0c4ceda8a5a5,0c43e03a-34eb-4a06-a5e4-15aab7efbf60,espo28,2023-04-24 22:41:53-05,2023-08-10 00:47:28-05,2023-08-10 00:48:35-05,2023-08-10 01:32:31-05,30,208e48d2-9877-4f4c-8c92-d785c19f002c,e4fbe34c-8ab0-4213-a777-ed9d38316dd4,5b709b76-245e-41e8-9be4-0a7556f8dd6a,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.48,user,5,5,1,2023-08-10 00:49:28-05,285.4,1927.24,0
6773d2a3-4384-4d5e-8183-d13fa17d11e2,5106999f-a153-400a-bdbe-503a3eb3b606,cpadave,2023-04-24 22:42:04-05,2023-07-24 11:44:50-05,2023-07-24 11:45:55-05,2023-07-24 12:36:46-05,30,36c955f5-1cd3-457a-ac7f-f3020033c9bc,1cc40f5c-eaab-45f7-80a1-da934afae79c,36379af0-bbef-411c-94b4-f40c26d92ba3,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.75,user,6,6,1,2023-07-24 11:46:53-05,285.4,1926.16,0
9eea00da-b4e6-427e-b208-d117041cedc1,e020935d-862a-45df-8516-7726340ef030,bashbarti,2023-04-24 22:42:00-05,2023-08-13 17:55:13-05,2023-08-13 17:56:18-05,2023-08-13 18:36:21-05,30,2c255aaa-b661-429b-a373-c2c76997ad7e,e2efec05-335c-483b-9b8f-f5e16753f6ce,62a89a44-51a7-401c-9a2c-8cea3918784c,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.42,user,12,12,1,2023-08-13 17:58:03-05,227.5,1917.26,0
41a77a49-fa5d-4336-8c42-a380e9e4816a,f6a9f46d-d2bd-4964-b343-2c159dce972f,ajg12991,2023-04-24 22:40:58-05,2023-09-06 03:06:20-05,2023-09-06 03:07:26-05,2023-09-06 03:53:38-05,30,85a13f3f-21f7-492f-bdc5-23ac4dc1a117,a0405799-dc32-45fc-a3d4-0ebe04aff5c9,3940ae1d-85dd-404f-ba56-7c7f8711c4ef,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,12.15,user,11,11,1,2023-09-06 03:09:23-05,227.5,1917.9,0
cf4511e0-53d4-4a20-bf38-e9e219939193,c0cb3376-0129-4f92-aaed-8c91883b946b,say10,2023-04-24 22:41:46-05,2023-07-30 00:59:01-05,2023-07-30 01:00:06-05,2023-08-15 23:28:17-05,28800,9920f09d-78b6-4507-a5a5-3895e33ae18f,a7467d00-1681-4335-a412-70a9f1878310,b2d18c9a-1cc0-40ad-a122-83ebb8c6d08e,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.33,user,12,12,1,2023-07-30 21:06:38-05,217.8,1911.6,0
6d69ac64-90a2-4b37-848c-bfe57d915331,0f195203-215c-4e08-a20f-30a5101a62be,psprngr99,2023-04-24 22:41:52-05,2023-08-12 02:09:09-05,2023-08-12 02:10:19-05,2023-08-12 03:02:10-05,30,c9d1999d-fed8-492a-802c-0d80328e1170,8c1b6a37-110d-4b23-9283-bed953ed6efb,3aa6b7e0-4e69-4294-8cf8-dab523e3dcc7,1,A.J. Brown,dd48e78f-5a11-4056-b21e-94789a31ee6e,WR,10.12,user,12,12,1,2023-08-12 02:12:53-05,192.4,1914.34,0
145b00c8-3300-4c7b-b6c9-691847866518,d9a6124e-913a-40f9-bb8f-012046bafcee,shem,2023-04-24 22:42:25-05,2023-07-04 22:24:14-05,2023-07-04 22:25:20-05,2023-07-04 23:11:05-05,30,81b990e2-0295-4e5b-82ab-76d5695a1c50,3bf05080-1649-4892-8b18-a9b6154c7945,4e7edab4-fdb9-4b73-8da7-82e1f9477c56,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.77,user,5,5,1,2023-07-04 22:26:04-05,285.4,1908.96,0
